rule,param,live,demo,n_stop,elapsed_s,time_saved_s,dev_pos_mm,dev_rot_deg,abs_pos_mm,abs_rot_deg,failed
time,0.1,pick_up_mug_007,pick_up_mug_005,7,0.116,2.8975,0.0,0.0,1095.0313,160.6024,0
time,0.1,pick_up_mug_007,pick_up_mug_006,9,0.1082,2.8926,0.0,0.0,529.416,58.1882,0
time,0.1,pick_up_mug_007,pick_up_mug_008,8,0.1086,2.8915,48.3154,5.1091,244.399,27.4035,0
time,0.1,pick_up_mug_008,pick_up_mug_001,8,0.1037,2.903,6.0026,0.5129,185.973,13.02,0
time,0.1,pick_up_mug_008,pick_up_mug_002,10,0.1134,2.8898,3.2211,0.3299,629.3627,62.4904,0
time,0.1,pick_up_mug_008,pick_up_mug_003,9,0.1056,2.8995,0.0,0.0,715.7155,74.9049,0
time,0.1,pick_up_mug_008,pick_up_mug_004,10,0.1138,2.8874,32.2706,3.0386,1066.4161,128.64,0
time,0.1,pick_up_mug_008,pick_up_mug_005,8,0.1061,2.9003,19.8234,1.9066,1186.2648,169.5773,0
time,0.1,pick_up_mug_008,pick_up_mug_006,7,0.1074,2.9078,31.0951,2.996,612.6467,64.6622,0
time,0.1,pick_up_mug_008,pick_up_mug_007,10,0.1055,2.8965,24.8549,2.3898,202.8028,21.3384,0
time,0.2,pick_up_mug_001,pick_up_mug_002,28,0.2077,2.8023,0.0,0.0,291.5083,31.8199,0
time,0.2,pick_up_mug_001,pick_up_mug_003,25,0.2045,2.8057,39.2545,4.646,319.2892,38.3018,0
time,0.2,pick_up_mug_001,pick_up_mug_004,28,0.2003,2.8047,0.2497,0.0296,691.9397,96.835,0
time,0.2,pick_up_mug_001,pick_up_mug_005,16,0.2095,2.798,17.7909,2.1278,822.7769,125.9818,0
time,0.2,pick_up_mug_001,pick_up_mug_006,18,0.2016,2.8085,16.4474,1.907,222.2243,27.0666,0
time,0.2,pick_up_mug_001,pick_up_mug_007,22,0.2025,2.799,1.1364,0.1327,218.1788,28.8713,0
time,0.2,pick_up_mug_001,pick_up_mug_008,15,0.211,2.7896,2.4555,0.3054,182.5506,19.5352,0
time,0.2,pick_up_mug_002,pick_up_mug_001,14,0.2017,2.8015,18.6403,1.7455,596.8584,55.3831,0
time,0.2,pick_up_mug_002,pick_up_mug_003,33,0.2014,2.8003,0.0,0.0,114.7661,12.63,0
time,0.2,pick_up_mug_002,pick_up_mug_004,35,0.2031,2.8008,19.5115,1.8112,628.6043,66.0147,0
time,0.2,pick_up_mug_002,pick_up_mug_005,20,0.2002,2.8008,6.3394,0.6348,934.8709,104.4824,0
time,0.2,pick_up_mug_002,pick_up_mug_006,25,0.2024,2.8005,45.8442,4.3592,95.4639,8.558,0
time,0.2,pick_up_mug_002,pick_up_mug_007,36,0.2027,2.7994,0.0,0.0,572.9422,54.3083,0
time,0.2,pick_up_mug_002,pick_up_mug_008,14,0.213,2.7943,26.6571,2.5749,636.4442,62.3901,0
time,0.2,pick_up_mug_003,pick_up_mug_001,14,0.2085,2.7961,17.9902,1.6301,704.9152,67.9725,0
time,0.2,pick_up_mug_003,pick_up_mug_002,35,0.2045,2.7972,1.0711,0.0871,120.5291,12.8555,0
time,0.2,pick_up_mug_003,pick_up_mug_004,31,0.2007,2.8019,43.3796,3.9539,536.4623,53.2755,0
time,0.2,pick_up_mug_003,pick_up_mug_005,19,0.2027,2.8032,1.4439,0.1321,856.2577,89.3655,0
time,0.2,pick_up_mug_003,pick_up_mug_006,21,0.2095,2.7933,12.6729,1.168,180.8867,16.833,0
time,0.2,pick_up_mug_003,pick_up_mug_007,29,0.2053,2.7953,0.0155,0.0015,685.4076,66.8608,0
time,0.2,pick_up_mug_003,pick_up_mug_008,16,0.2123,2.7905,18.0602,1.6664,723.5433,72.1585,0
time,0.2,pick_up_mug_004,pick_up_mug_001,15,0.2098,2.799,0.0,0.0,999.9678,117.419,0
time,0.2,pick_up_mug_004,pick_up_mug_002,28,0.2007,2.8032,0.0,0.0,624.4403,66.7002,0
time,0.2,pick_up_mug_004,pick_up_mug_003,28,0.2083,2.7946,0.1076,0.0128,522.9085,54.4078,0
time,0.2,pick_up_mug_004,pick_up_mug_005,18,0.209,2.7953,0.0,0.0,371.0179,35.7902,0
time,0.2,pick_up_mug_004,pick_up_mug_006,17,0.2085,2.7945,5.4808,0.4689,742.9381,82.109,0
time,0.2,pick_up_mug_004,pick_up_mug_007,30,0.2065,2.7972,0.6532,0.0675,1026.8936,120.2879,0
time,0.2,pick_up_mug_004,pick_up_mug_008,13,0.2014,2.8087,29.7599,2.8779,1065.4848,128.5202,0
time,0.2,pick_up_mug_005,pick_up_mug_001,13,0.2013,2.7993,0.9449,0.0899,1063.0717,144.2843,0
time,0.2,pick_up_mug_005,pick_up_mug_002,21,0.211,2.7896,5.8187,0.6731,815.9954,94.52,0
time,0.2,pick_up_mug_005,pick_up_mug_003,21,0.2073,2.8006,4.7336,0.4784,762.3289,86.1525,0
time,0.2,pick_up_mug_005,pick_up_mug_004,28,0.2042,2.8086,0.0,0.0,351.2838,35.2837,0
time,0.2,pick_up_mug_005,pick_up_mug_006,17,0.2098,2.7978,0.8871,0.089,944.0912,119.4456,0
time,0.2,pick_up_mug_005,pick_up_mug_007,21,0.2077,2.7943,3.1796,0.3958,1095.9869,149.1289,0
time,0.2,pick_up_mug_005,pick_up_mug_008,15,0.2007,2.8065,0.0343,0.0054,1106.0178,151.6918,0
time,0.2,pick_up_mug_006,pick_up_mug_001,15,0.2162,2.7844,5.1046,0.5062,534.5761,56.2024,0
time,0.2,pick_up_mug_006,pick_up_mug_002,27,0.2033,2.8005,0.0,0.0,68.8563,4.9759,0
time,0.2,pick_up_mug_006,pick_up_mug_003,22,0.2081,2.8052,30.819,3.0307,86.6711,8.7082,0
time,0.2,pick_up_mug_006,pick_up_mug_004,23,0.2033,2.8007,8.2454,0.7483,606.5955,70.3791,0
time,0.2,pick_up_mug_006,pick_up_mug_005,14,0.2005,2.8077,23.0504,2.2922,879.2532,110.031,0
time,0.2,pick_up_mug_006,pick_up_mug_007,23,0.2007,2.8078,33.3781,3.0705,586.1857,63.3011,0
time,0.2,pick_up_mug_006,pick_up_mug_008,12,0.2041,2.7974,15.4196,1.5704,648.802,72.3849,0
time,0.2,pick_up_mug_007,pick_up_mug_001,12,0.2012,2.8058,0.366,0.0365,36.722,3.9666,0
time,0.2,pick_up_mug_007,pick_up_mug_002,23,0.2068,2.795,0.3787,0.0903,527.8624,53.9355,0
time,0.2,pick_up_mug_007,pick_up_mug_003,27,0.212,2.7881,0.348,0.0373,613.4725,66.6277,0
time,0.2,pick_up_mug_007,pick_up_mug_004,29,0.2008,2.7993,4.6794,0.7847,959.9784,119.8436,0
time,0.2,pick_up_mug_007,pick_up_mug_005,13,0.2069,2.8066,0.0,0.0,1095.0313,160.6024,0
time,0.2,pick_up_mug_007,pick_up_mug_006,22,0.205,2.7958,0.0,0.0,529.416,58.1882,0
time,0.2,pick_up_mug_007,pick_up_mug_008,15,0.2015,2.7985,48.3154,5.1091,244.399,27.4035,0
time,0.2,pick_up_mug_008,pick_up_mug_001,18,0.2016,2.8051,6.0026,0.5129,185.973,13.02,0
time,0.2,pick_up_mug_008,pick_up_mug_002,22,0.2075,2.7956,3.3174,0.3399,629.4076,62.4953,0
time,0.2,pick_up_mug_008,pick_up_mug_003,20,0.2006,2.8045,0.0,0.0,715.7155,74.9049,0
time,0.2,pick_up_mug_008,pick_up_mug_004,22,0.2099,2.7912,32.2836,3.0397,1066.4109,128.6391,0
time,0.2,pick_up_mug_008,pick_up_mug_005,16,0.2044,2.802,16.1008,1.5576,1185.8448,169.2355,0
time,0.2,pick_up_mug_008,pick_up_mug_006,15,0.2059,2.8093,22.2885,2.1442,604.6651,63.8104,0
time,0.2,pick_up_mug_008,pick_up_mug_007,22,0.2029,2.7991,14.484,1.4837,163.685,17.5023,0
time,0.3,pick_up_mug_001,pick_up_mug_002,41,0.304,2.706,0.0,0.0,291.5083,31.8199,0
time,0.3,pick_up_mug_001,pick_up_mug_003,37,0.302,2.7081,39.2545,4.646,319.2892,38.3018,0
time,0.3,pick_up_mug_001,pick_up_mug_004,41,0.3016,2.7035,0.2497,0.0296,691.9397,96.835,0
time,0.3,pick_up_mug_001,pick_up_mug_005,24,0.3109,2.6966,17.7909,2.1278,822.7769,125.9818,0
time,0.3,pick_up_mug_001,pick_up_mug_006,28,0.3066,2.7036,16.4474,1.907,222.2243,27.0666,0
time,0.3,pick_up_mug_001,pick_up_mug_007,34,0.302,2.6995,1.1364,0.1327,218.1788,28.8713,0
time,0.3,pick_up_mug_001,pick_up_mug_008,23,0.3142,2.6864,2.4555,0.3054,182.5506,19.5352,0
time,0.3,pick_up_mug_002,pick_up_mug_001,21,0.3029,2.7003,18.6403,1.7455,596.8584,55.3831,0
time,0.3,pick_up_mug_002,pick_up_mug_003,49,0.3092,2.6924,0.0,0.0,114.7661,12.63,0
time,0.3,pick_up_mug_002,pick_up_mug_004,51,0.3062,2.6977,19.5115,1.8112,628.6043,66.0147,0
time,0.3,pick_up_mug_002,pick_up_mug_005,28,0.3024,2.6987,6.3394,0.6348,934.8709,104.4824,0
time,0.3,pick_up_mug_002,pick_up_mug_006,40,0.3095,2.6934,45.8442,4.3592,95.4639,8.558,0
